2013-12-10 19:15:19 DEBUG loadBalancerLogger:15 - *************************Starting loadBalancerLogger************************
2013-12-10 19:24:22 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ResponseTimeoutException: org.apache.http.NoHttpResponseException: The target server failed to respond
2013-12-10 19:24:27 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:32 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:37 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:42 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:46 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:47 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:47 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:52 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:52 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:57 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:24:57 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:02 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:02 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:07 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:07 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:12 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:12 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
