time;thread;requestID;mamFileID;inDesignServerInstance;sessionContext;documentLockedlogSeparatoropenFilesFromResponse;status
2013-12-10 02:13:17.778;pool-2-thread-1;!!!!1!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:13:17.778;pool-2-thread-1;!!!!1!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:13:17.784;pool-2-thread-1;!!!!1!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:13:17.941;pool-2-thread-1;!!!!1!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:13:17.942;pool-2-thread-1;!!!!1!!!!;7356;http://localhost:18385->[];;;[];SUCCESS_FROM_INDS
2013-12-10 02:13:17.949;pool-2-thread-1;!!!!1!!!!;7356;null;;;[];SENT_TO_WEBSERVER
2013-12-10 02:13:19.170;pool-2-thread-2;!!!!2!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:13:19.170;pool-2-thread-2;!!!!2!!!!;7356;http://localhost:18386->[7356];;1;null;GOT_INDS
2013-12-10 02:13:19.186;pool-2-thread-2;!!!!2!!!!;7356;http://localhost:18386->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:13:19.394;pool-2-thread-2;!!!!2!!!!;7356;http://localhost:18386->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:13:19.394;pool-2-thread-2;!!!!2!!!!;7356;http://localhost:18386->[];;1;[];SUCCESS_FROM_INDS
2013-12-10 02:13:19.400;pool-2-thread-2;!!!!2!!!!;7356;null;;1;[];SENT_TO_WEBSERVER
2013-12-10 02:13:19.680;pool-2-thread-3;!!!!3!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:13:19.680;pool-2-thread-3;!!!!3!!!!;7356;http://localhost:18387->[7356];;1;null;GOT_INDS
2013-12-10 02:13:19.686;pool-2-thread-3;!!!!3!!!!;7356;http://localhost:18387->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:13:24.613;pool-2-thread-3;!!!!3!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:13:24.613;pool-2-thread-3;!!!!3!!!!;7356;http://localhost:18387->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:13:24.619;pool-2-thread-3;!!!!3!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:05.345;pool-2-thread-4;!!!!4!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:05.345;pool-2-thread-4;!!!!4!!!!;7356;http://localhost:18387->[7356];;1;null;GOT_INDS
2013-12-10 02:14:05.350;pool-2-thread-4;!!!!4!!!!;7356;http://localhost:18387->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:14:18.588;pool-2-thread-5;!!!!5!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:18.588;pool-2-thread-5;!!!!5!!!!;7356;null;;1;null;WAITING_FOR_INDS
2013-12-10 02:14:22.341;pool-2-thread-4;!!!!4!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:14:22.342;pool-2-thread-4;!!!!4!!!!;7356;http://localhost:18387->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:22.347;pool-2-thread-4;!!!!4!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:22.347;pool-2-thread-5;!!!!5!!!!;7356;null;;1;null;NOTIFIED_FOR_INDS
2013-12-10 02:14:22.347;pool-2-thread-5;!!!!5!!!!;7356;http://localhost:18387->[7356];;1;null;GOT_INDS
2013-12-10 02:14:22.523;pool-2-thread-5;!!!!5!!!!;7356;http://localhost:18387->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:14:22.780;pool-2-thread-5;!!!!5!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:14:22.780;pool-2-thread-5;!!!!5!!!!;7356;http://localhost:18387->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:22.805;pool-2-thread-5;!!!!5!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:23.831;pool-2-thread-6;!!!!6!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:23.831;pool-2-thread-6;!!!!6!!!!;7356;http://localhost:18387->[7356];;1;null;GOT_INDS
2013-12-10 02:14:23.836;pool-2-thread-6;!!!!6!!!!;7356;http://localhost:18387->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:14:23.999;pool-2-thread-6;!!!!6!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:14:24.000;pool-2-thread-6;!!!!6!!!!;7356;http://localhost:18387->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:24.006;pool-2-thread-6;!!!!6!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:25.033;pool-2-thread-7;!!!!7!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:25.033;pool-2-thread-7;!!!!7!!!!;7356;http://localhost:18387->[7356];;1;null;GOT_INDS
2013-12-10 02:14:25.038;pool-2-thread-7;!!!!7!!!!;7356;http://localhost:18387->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:14:25.204;pool-2-thread-7;!!!!7!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:14:25.204;pool-2-thread-7;!!!!7!!!!;7356;http://localhost:18387->[7356];;1;[7356];SUCCESS_FROM_INDS
